iter	Logloss
0	0.6494423863
1	0.6111586164
2	0.5754365892
3	0.5431552447
4	0.5135085137
5	0.4862841972
6	0.4609662681
7	0.4376184198
8	0.415663375
9	0.3965656846
10	0.3790552652
11	0.3629854434
12	0.3482627374
13	0.3346692413
14	0.3222833662
15	0.3108558685
16	0.3004105124
17	0.2900570733
18	0.2812911069
19	0.2723002077
20	0.264154226
21	0.25728927
22	0.2510796922
23	0.2453447541
24	0.2395182127
25	0.2346282717
26	0.2296043055
27	0.2250261975
28	0.221237735
29	0.2177622911
30	0.2145469102
31	0.21108842
32	0.2083518865
33	0.2053625562
34	0.2030328306
35	0.2004653416
36	0.1981175496
37	0.1958682018
38	0.1937598322
39	0.1918894032
40	0.1904426531
41	0.1888217879
42	0.1873185562
43	0.1859067172
44	0.1848474011
45	0.1836362871
46	0.1824597164
47	0.1815831851
48	0.1805255925
49	0.1796065834
50	0.1788255942
51	0.1779853871
52	0.1769265335
53	0.1759535514
54	0.1750294633
55	0.1740639702
56	0.1731701579
57	0.1724192468
58	0.1716620773
59	0.1709971972
60	0.1703375956
61	0.1697362973
62	0.1691672138
63	0.1686614914
64	0.168070462
65	0.1676169521
66	0.1671643225
67	0.1667448385
68	0.1662515052
69	0.1658241114
70	0.1654868859
71	0.165178052
72	0.1647971246
73	0.1645329757
74	0.1642844724
75	0.1640492496
76	0.1636986602
77	0.1634077637
78	0.1632069953
79	0.162993251
80	0.1627435812
81	0.1625646556
82	0.1624151545
83	0.1622522533
84	0.1620765033
85	0.1619430602
86	0.1618139116
87	0.1616620287
88	0.1615357797
89	0.1614180414
90	0.1612274935
91	0.1610621525
92	0.160906293
93	0.1607683806
94	0.160616703
95	0.1605311585
96	0.1603915251
97	0.1602942023
98	0.1602121437
99	0.160106396
100	0.1600363781
101	0.1599378544
102	0.1598848434
103	0.1598325934
104	0.159733944
105	0.1596594547
106	0.1595616456
107	0.1594737294
108	0.1594287219
109	0.1593533347
110	0.1593108943
111	0.1592820231
112	0.159223442
113	0.1591439912
114	0.1590761617
115	0.1590238294
116	0.1589560513
117	0.1588954847
118	0.1588136735
119	0.1587750841
120	0.1587419502
121	0.1586877957
122	0.1586522772
123	0.1586303296
124	0.1586116979
125	0.1585357459
126	0.1584929581
127	0.1584573957
128	0.1584327707
129	0.1584003205
130	0.1583321289
131	0.1582956542
132	0.1582771728
133	0.1582347502
134	0.1581949242
135	0.158157977
136	0.158130899
137	0.1580706816
138	0.1580346368
139	0.1580106092
140	0.1579752955
141	0.1579488923
142	0.1579106122
143	0.157878566
144	0.1578493211
145	0.1578251728
146	0.1578092514
147	0.1577750929
148	0.1577429
149	0.1577173134
150	0.1576997817
151	0.1576839106
152	0.157658647
153	0.1576233324
154	0.1575823666
155	0.1575456784
156	0.1575218831
157	0.1575013326
158	0.1574865063
159	0.1574640487
160	0.1574478036
161	0.1574352229
162	0.1574030646
163	0.1573916619
164	0.1573730203
165	0.1573496072
166	0.1573353085
167	0.1573198128
168	0.1572821911
169	0.1572741562
170	0.1572641116
171	0.1572419509
172	0.1572195193
173	0.1572037715
174	0.1571922325
175	0.1571655033
176	0.157152787
177	0.1571504942
178	0.1571360857
179	0.157127657
180	0.1571171822
181	0.157104469
182	0.1570966899
183	0.1570827107
184	0.157068662
185	0.1570612244
186	0.1570509683
187	0.1570452316
188	0.1570372736
189	0.1570257527
190	0.1570183007
191	0.1570171551
192	0.1570108237
193	0.1570062177
194	0.1569874291
195	0.156981779
196	0.1569799883
197	0.1569706357
198	0.1569542857
199	0.1569195001
200	0.1569112243
201	0.1568949827
202	0.1568816811
203	0.1568772489
204	0.1568735405
205	0.1568697765
206	0.1568617555
207	0.1568577329
208	0.1568407852
209	0.156828659
210	0.1568258753
211	0.1568182141
212	0.1568116512
213	0.1568057551
214	0.1567996432
215	0.1567987994
216	0.1567889413
217	0.156771698
218	0.1567581811
219	0.1567530647
220	0.1567439797
221	0.1567417447
222	0.1567303765
223	0.1567229183
224	0.15671643
225	0.1567099648
226	0.156704678
227	0.1566985226
228	0.1566882656
229	0.1566840476
230	0.156680374
231	0.1566765478
232	0.1566737274
233	0.1566704184
234	0.1566540899
235	0.1566493915
236	0.1566395061
237	0.1566346529
238	0.1566261103
239	0.1566213799
240	0.1566107527
241	0.156604859
242	0.1565977067
243	0.1565927755
244	0.1565796014
245	0.1565717842
246	0.1565684856
247	0.1565655133
248	0.1565637561
249	0.1565577571
250	0.1565512374
251	0.1565392162
252	0.1565358332
253	0.1565302543
254	0.1565274005
255	0.1565246514
256	0.1565233993
257	0.1565218341
258	0.1565194501
259	0.1565165668
260	0.1565103223
261	0.1565014559
262	0.1564987828
263	0.1564979719
264	0.1564932594
265	0.1564901513
266	0.1564879637
267	0.1564861017
268	0.1564838649
269	0.1564636871
270	0.156458165
271	0.1564496741
272	0.1564443926
273	0.1564363201
274	0.156428375
275	0.1564270872
276	0.1564226905
277	0.1564179449
278	0.1564119484
279	0.1564096845
280	0.1564058764
281	0.1563995765
282	0.1563967729
283	0.1563781898
284	0.1563762454
285	0.1563726076
286	0.1563701731
287	0.1563663664
288	0.156364484
289	0.1563630786
290	0.1563591582
291	0.1563513984
292	0.1563390933
293	0.1563364219
294	0.1563347838
295	0.1563318584
296	0.1563239111
297	0.156319241
298	0.156315595
299	0.1563051358
300	0.1563004771
301	0.156297615
302	0.1562874525
303	0.1562827151
304	0.1562817207
305	0.1562797714
306	0.1562763312
307	0.1562732614
308	0.1562704142
309	0.156268276
310	0.1562582129
311	0.1562532963
312	0.1562462835
313	0.1562441697
314	0.1562192349
315	0.1562141082
316	0.1562081101
317	0.1562050912
318	0.1562040871
319	0.1561952601
320	0.1561931581
321	0.156191911
322	0.1561900573
323	0.1561875479
324	0.1561871256
325	0.1561771688
326	0.156175527
327	0.1561718447
328	0.1561669494
329	0.1561639592
330	0.1561610855
331	0.1561579648
332	0.1561526735
333	0.1561468491
334	0.1561451505
335	0.1561443961
336	0.1561382657
337	0.1561357693
338	0.1561342694
339	0.1561301666
340	0.1561287697
341	0.1561245257
342	0.156119703
343	0.1561186564
344	0.1561155658
345	0.1561131344
346	0.1561109767
347	0.1561085074
348	0.1560969187
349	0.1560846196
350	0.1560810837
351	0.1560803193
352	0.1560782685
353	0.1560746797
354	0.1560735136
355	0.156067915
356	0.1560647329
357	0.156062874
358	0.1560608137
359	0.1560600952
360	0.1560584757
361	0.1560543524
362	0.1560514314
363	0.1560500172
364	0.1560428617
365	0.1560401546
366	0.1560383063
367	0.1560383063
368	0.1560354881
369	0.1560276237
370	0.156023371
371	0.1560160164
372	0.1560119472
373	0.1560078012
374	0.1560062086
375	0.156002633
376	0.1559969207
377	0.1559914299
378	0.1559897763
379	0.1559876709
380	0.1559819433
381	0.155980198
382	0.1559779956
383	0.1559745529
384	0.1559724567
385	0.1559715156
386	0.1559670183
387	0.1559565856
388	0.155951969
389	0.155950084
390	0.1559490094
391	0.1559477206
392	0.1559452526
393	0.1559380696
394	0.1559300827
395	0.1559268789
396	0.1559224144
397	0.1559197102
398	0.1559178824
399	0.1559118675
400	0.1559011104
401	0.1558979382
402	0.155893725
403	0.1558894859
404	0.1558857211
405	0.1558847508
406	0.1558816012
407	0.1558811386
408	0.1558784198
409	0.1558782029
410	0.1558718857
411	0.1558657205
412	0.1558654434
413	0.1558648445
414	0.1558644974
415	0.1558594879
416	0.1558476477
417	0.1558450937
418	0.1558420086
419	0.1558364777
420	0.1558324065
421	0.1558300004
422	0.1558255073
423	0.1558248672
424	0.1558194946
425	0.1558185025
426	0.1558158151
427	0.1558134717
428	0.1558100875
429	0.1558038108
430	0.1558030286
431	0.1558028905
432	0.1558023788
433	0.1557970011
434	0.1557918746
435	0.1557864909
436	0.1557850298
437	0.1557796856
438	0.1557719249
439	0.1557651938
440	0.1557633965
441	0.1557632655
442	0.1557602857
443	0.1557574526
444	0.1557555675
445	0.1557509153
446	0.1557480029
447	0.155741744
448	0.1557365835
449	0.1557357074
450	0.1557330305
451	0.1557252704
452	0.1557220757
453	0.1557203329
454	0.1557149628
455	0.1557097776
456	0.1557013673
457	0.1556987709
458	0.1556930027
459	0.1556861411
460	0.1556855579
461	0.1556775503
462	0.155676182
463	0.1556746402
464	0.1556743159
465	0.1556634368
466	0.1556608769
467	0.1556597219
468	0.1556538686
469	0.155648971
470	0.1556387424
471	0.1556339281
472	0.15562676
473	0.1556219093
474	0.1556169373
475	0.1556115182
476	0.1556047831
477	0.1555992016
478	0.1555980945
479	0.1555978021
480	0.1555974653
481	0.1555969385
482	0.1555929745
483	0.1555845094
484	0.1555838555
485	0.1555790173
486	0.1555733536
487	0.1555693653
488	0.1555656092
489	0.1555585491
490	0.1555539842
491	0.1555536012
492	0.1555471134
493	0.155543097
494	0.15554277
495	0.1555424473
496	0.155538416
497	0.1555335574
498	0.1555233534
499	0.1555155225
500	0.1555152342
501	0.1555121776
502	0.155510749
503	0.155510463
504	0.1555090861
505	0.1555030186
506	0.1555002178
507	0.1554997298
508	0.1554960592
